signer,volume,volume_category
7hhnhKFve8g5Vk6EL4Dwn6zFr6sTS3f5j4oYV4ukQw2R,88,Other
7mSwU7Ajbeat5U2pMzyLs8g5TPXXVd8paVMmgcZv6Uvw,88,Other
7yrM5jNE5uL8b165jhnft3h1nW2DJFq78hp7Nm59SFhK,88,Other
88TBNAJUHhdYemQyK21DrQyeb1Y5H6Jzedf2NvrKfLFJ,88,Other
8FgemnqRKsPYUAdUH9hPX2KNuUQjCfLyiaDaMiLCmM6q,88,Other
8Kn42nvV2LUX19m3wLTKP6NQPhdmPBYn53XrbFPC3za,88,Other
8VXcGobQP46AN9gsbvFqechnuLcRHufEm3v3aswJNchU,88,Other
8Vpf8x41TxFZtRFtxqs9NsedqtC1KvVaBtsqByb9y2MH,88,Other
8iE1mriprrNYhfdPSNDdhbDBqwWvgbgmsQxg43EU89sn,88,Other
8tAX3zPLptV8ZiPVrVb5asb4XFBq741w7EXrZycuEzVh,88,Other
976px1crmSiT7aBe66KBC6fPEitqqC9yNCxVoAryCdyD,88,Other
9HmT7U7PeHcPjufqUmiYFvx9yKJ672m8NDL6jXsPU3Qv,88,Other
9Hu8hbLjS3GuMAjj1mmqpL3cq1mtRCav3o1AjQdgwqnq,88,Other
9bNqDVU82C4DbWA675LYoJYrr963fpEwURK7NEYajHVC,88,Other
A2jUQbBphSCqVrMrstb1mof9jR78okRwAVJteDkS9G7E,88,Other
A577WQDNFvdW8WqpHaVbQVWdJi3Cr13NafVbLh5VCmw8,88,Other
ANsJ6iHQpJ7gpGWf9QKi3kszirvVn4sRbPfDfD49iomX,88,Other
